157 West Street,Alden Hall,Alumni Gym,Bartlett Center,Fuller Labs,Harrington Auditorium,Salisbury Lab,Washburn Shops,Atwater Kent,Boynton Hall,Campus Center,Gordon Library,Higgins House,Project Center, Stratton Hall,Higgins Labs
,SB1,00A,,A01,OO1,OO1,,OO1,OO1,,SO1,OO2,100,OO1,OO1
,SB2,00B,,A03,OO2,OO2,,OO1A,OO2,,SO2,OO3,101,OO2,OO2
,SB3,00C,,A05,OO3,OO3,,OO1B,OO3,,OO2,OO4,102,OO3,OO3
,SB4,OO1,,A06,OO4,OO4,,OO2,OO3A,,OO3,OO5,103,OO4,OO4
,SB5,OO2,,A07,OO5,OO5,,OO3,OO4,,OO5,OO6,104,OO6,OO5
,SB6,OO3,,A09,OO6,OO6,,OO4,OO4A,,OO6,OO7,105,OO7,OO6
,SB8,B00A,,A10,OO7,OO6A,,OO4A,OO5,,OO7,OO8,106,OO9,OO7
,SB9,B00D,,A11,OO8,OO7,,OO5,OO6,,OO8,OO9,106A,OO9A,OO8
,SB10,B00F,,A12,OO8A,OO8,,OO6,OO7,,OO9,OO9A,106B,OO9B,OO9
,SB11,B00G,,A13,OO8B,OO9,,OO7,OO8,,O10,O10,106C,O10,O10
,B01,B00H,,A14,OO9,O10,,OO8,OO9,,O11,O11,106D,O11,O11
,B03,B00L,,A15,OO9A,O11,,OO9,O10,,O12,O14,106E,O12,O12
,B04,B001,,A16,OO9B,O11B,,O10,O11,,O13,O15,106F,O13,O13
,B05,B002,,A17,O10,O12,,O11,O12,,O14,O17,106G,O14,O15
,,201,,136,216,214A,,210,308,,358,,,,137
,,202,,137,217,214B,,211A,309,,359,,,,138
,,202A,,138,218,214C,,211B,,,3510,,,,139
,,202B,,139,218A,214D,,212,,,3511,,,,140
,,202C,,140,219,217,,212A,,,,,,,142
,,202D,,141,220,218,,212B,,,,,,,143
,,203,,142,220A,219,,212C,,,,,,,144
,,203A,,143,221,220,,213,,,,,,,145
,,203B,,144,222,221,,214,,,,,,,146
,,204,,145,302,222,,215,,,,,,,147
,,204A,,146,302A,223,,216,,,,,,,148
,,205,,147,303,224,,217,,,,,,,149
,,205A,,148,304,225,,218,,,,,,,150
,,206,,Upper Perault Hall,305,228,,219,,,,,,,151
,,207,,150,306,228A,,220,,,,,,,152
,,300A,,152,306A,229,,221,,,,,,,153
,,300X,,206,306B,232,,222,,,,,,,155
,,300Y,,207,306C,233,,223,,,,,,,155A
,,300Z,,210,306D,233A,,224,,,,,,,201
,,301,,211,307,234,,225,,,,,,,202
,,302,,212,307A,235,,226,,,,,,,203
,,303,,213,307B,236,,227,,,,,,,204
,,,,214,307C,237,,227A,,,,,,,205
,,,,215,307D,238,,228,,,,,,,206
,,,,216,308,239,,229,,,,,,,207
,,,,216a,309,241,,230,,,,,,,208
,,,,217,310,242,,231,,,,,,,209
,,,,218,311,243,,232,,,,,,,210
,,,,219,312A,244,,233,,,,,,,211
,,,,220,312B,251,,301,,,,,,,212
,,,,221,312C,252,,301A,,,,,,,213
,,,,IMGD Lab,312D,253,,302,,,,,,,214
