node,274,351,0,HigginsHouseApartment,,false,None
node,354,308,0,HigginsHouseApartment,,false,None
node,311,213,0,HigginsHouseApartment,,false,None
201G,293,289,0,HigginsHouseApartment,,false,Room
200G,246,397,0,HigginsHouseApartment,,false,Room
203G,609,313,0,HigginsHouseApartment,,false,Room
node,852,304,0,HigginsHouseApartment,,false,None
node,939,301,0,HigginsHouseApartment,,false,None
node,896,232,0,HigginsHouseApartment,,false,None
205G,895,298,0,HigginsHouseApartment,,false,Room
Down Stairs,1022,161,0,HigginsHouseApartment,,true,Stairs
node,896,199,0,HigginsHouseApartment,,false,None
204G,997,301,0,HigginsHouseApartment,,false,Room
202G,311,158,0,HigginsHouseApartment,,false,Room
