node0,5,20,Node0
node1,5,23,Node1
node2,6,25,Node2
node3,10,23,Node3
node4,14,23,Node4
node5,10,25,Node5
node6,14,25,Node6
node7,18,23,Node7
node8,18,25,Node8
node9,21,23,Node9
node10,21,25,Node10
node14,25,18,Node14
node12,18,18,Node12
node13,21,15,Node13
node11,21,18,Node11
node15,25,15,Node15
node16,27,15,Node16
node17,27,18,Node17
node18,36,18,Node18
node19,36,21,Node19
node20,40,18,Node20
node21,40,21,Node21
node22,41,15,Node22
node23,44,18,Node23
node24,44,15,Node24
node25,50,18,Node25
node26,50,15,Node26
node27,55,18,Node27
node28,54,15,Node28
node29,57,19,Node29
node30,55,21,Node30
