BH-018,326,368,0,BHB,,false
BH-017,594,422,0,BHB,,false
BH-019,318,510,0,BHB,,false
node,454,516,0,BHB,,true
BH-020,456,652,0,BHB,,false
BH-016,598,534,0,BHB,,false
BH-015,776,424,0,BHB,,false
BH-014A,882,424,0,BHB,,false
BH-014,860,264,0,BHB,,false
node,776,501,0,BHB,,true
node,888,515,0,BHB,,true
BH-000C,1132,519,0,BHB,,false
node,1242,523,0,BHB,,true
node,1248,413,0,BHB,,true
BH-Elevator,1360,580,0,BHB,,false
BH-021A,912,680,0,BHB,,false
node,728,766,0,BHB,,true
BH-021,562,956,0,BHB,,false
BH-021D,796,1114,0,BHB,,false
node,774,948,0,BHB,,true
BH-021C,578,1114,0,BHB,,false
node,294,982,0,BHB,,true
BH-021B,252,1110,0,BHB,,false
BH-000A,1053,684,0,BHB,,false
node,1021,1010,0,BHB,,true
node,1185,1010,0,BHB,,true
BH-012,1261,864,0,BHB,,false
node,1271,723,0,BHB,,true
BH-000D,1407,693,0,BHB,,false
node,1505,733,0,BHB,,true
BH-000F,1673,737,0,BHB,,false
node,1593,717,0,BHB,,true
BH-010,1591,615,0,BHB,,false
node,1945,728,0,BHB,,true
BH-00G,1949,488,0,BHB,,false
BH-007,1835,490,0,BHB,,false
node,1945,388,0,BHB,,true
BH-008,1811,378,0,BHB,,false
BH-009,1653,394,0,BHB,,false
node,1971,304,0,BHB,,true
BH-006,2083,298,0,BHB,,false
node,1947,586,0,BHB,,true
BH-003A,2067,566,0,BHB,,false
BH-011,1611,871,0,BHB,,false
node,2153,763,0,BHB,,true
BH-005,2151,881,0,BHB,,false
node,2355,769,0,BHB,,true
BH-004,2353,879,0,BHB,,false
node,2475,769,0,BHB,,true
BH-004A,2485,857,0,BHB,,false
node,2533,723,0,BHB,,true
BH-003,2531,585,0,BHB,,false
node,2749,779,0,BHB,,true
BH-002,2935,767,0,BHB,,false
node,2823,429,0,BHB,,true
node,2913,561,0,BHB,,true
node,2757,1101,0,BHB,,true
BH-001,2761,1217,0,BHB,,false
node,1302,614,0,BHB,,true
node,597,486,0,BHB,,true
BH-Side-Stairs,2851,1106,0,BHB,,false
BH-013,1092,401,0,BHB,,false
BH-Side-Stair-Up,2988,1107,0,BHB,,true
BH-Stair-Up,1947,36,0,BHB,,true
BH-Stairs,1945,138,0,BHB,,false
BH-Elevator,1374,470,0,BHB,,true
